,attnum,band,campaign,created_date,data_state,db,end_time,exec_host,expnum,nite,operator,pipeline,project,total time,reqnum,start_time,status,status_orig,submit_site,target_site,unitname,assessment,program,t_eff
4280,2,Y,Y2A1,2016-04-20 06:34:19.648281,NEW,db-desoper,2016-04-20 12:45:10,iforge130,283820.0,20140209,mjohns44,finalcut,OPS,6.152,2355,2016-04-20 06:36:01,0.0,0.0,dessub,iforge-dev,D00283820,True,survey,0.927
5495,1,Y,Y2A1,2016-03-29 14:20:08.587688,NEW,db-desoper,2016-03-29 18:41:50,fnpc7210.fnal.gov,283820.0,20140209,mjohns44,finalcut,OPS,4.33,2355,2016-03-29 14:22:02,0.0,0.0,dessub,fermigrid-ce,D00283820,True,survey,0.927
682,2,z,Y2A1,2016-04-20 06:33:45.065792,NEW,db-desoper,2016-04-20 12:54:48,iforge130,283753.0,20140209,mjohns44,finalcut,OPS,6.324,2355,2016-04-20 06:35:21,0.0,0.0,dessub,iforge-dev,D00283753,True,survey,0.807
9025,1,z,Y2A1,2016-03-29 14:19:34.533080,NEW,db-desoper,2016-03-29 18:24:50,fnpc7207.fnal.gov,283753.0,20140209,mjohns44,finalcut,OPS,4.046,2355,2016-03-29 14:22:06,0.0,0.0,dessub,fermigrid-ce,D00283753,True,survey,0.807
5494,2,z,Y2A1,2016-04-20 06:33:10.627883,NEW,db-desoper,2016-04-20 12:56:24,iforge130,282939.0,20140207,mjohns44,finalcut,OPS,6.362,2355,2016-04-20 06:34:40,0.0,0.0,dessub,iforge-dev,D00282939,True,survey,0.759
3069,1,z,Y2A1,2016-03-29 14:19:00.738063,NEW,db-desoper,2016-03-29 17:38:19,fnpc7308.fnal.gov,282939.0,20140207,mjohns44,finalcut,OPS,3.29,2355,2016-03-29 14:20:54,0.0,0.0,dessub,fermigrid-ce,D00282939,True,survey,0.759
681,2,r,Y2A1,2016-04-20 06:32:01.119489,NEW,db-desoper,2016-04-21 08:55:08,iforge126,270760.0,20140101,mjohns44,finalcut,OPS,26.358,2355,2016-04-20 06:33:39,0.0,0.0,dessub,iforge-dev,D00270760,True,survey,0.40800000000000003
680,2,g,Y2A1,2016-04-20 06:31:26.615179,NEW,db-desoper,2016-04-21 12:38:34,iforge126,270759.0,20140101,mjohns44,finalcut,OPS,30.093,2355,2016-04-20 06:32:59,0.0,0.0,dessub,iforge-dev,D00270759,True,survey,0.29700000000000004
3068,1,g,Y2A1,2016-03-29 14:17:53.134993,NEW,db-desoper,2016-03-30 11:37:21,fnpc7212.fnal.gov,270759.0,20140101,mjohns44,finalcut,OPS,21.274,2355,2016-03-29 14:20:53,0.0,0.0,dessub,fermigrid-ce,D00270759,True,survey,0.29700000000000004
1873,2,r,Y2A1,2016-04-20 06:30:51.990663,NEW,db-desoper,2016-04-20 12:25:16,iforge108,270656.0,20140101,mjohns44,finalcut,OPS,5.883,2355,2016-04-20 06:32:19,0.0,0.0,dessub,iforge-dev,D00270656,True,survey,1.1780000000000002
