#2019-05-31 19:09:46.456146
created_date,project,campaign,unitname,reqnum,attnum,pfw_attempt_id,status_orig,data_state,operator,pipeline,start_time,end_time,target_site,submit_site,exec_host,status,propid,expnum,band,nite,db
2019-05-22 15:33:37.915846,ACT,Y5A1_FAST,D00475539-t,4,12,2702002,0.0,NEW,friedel,finalcut,2019-05-22 15:33:46.044099,2019-05-22 15:55:52.000000,descmp4,dessub.cosmology.illinois.edu,descmp4.cosmology.illinois.edu,0.0,,,,20150915,desoper
2019-05-23 10:21:45.791518,ACT,Y5A1_FAST,D00475539-t,4,14,2704716,1.0,NEW,friedel,finalcut,2019-05-23 10:21:52.594709,2019-05-23 10:33:19.000000,descmp4,dessub.cosmology.illinois.edu,descmp4.cosmology.illinois.edu,1.0,,,,20150915,desoper
2019-05-28 14:24:18.245887,ACT,Y5A1_FAST,D00475539-t,4,32,2713715,1.0,NEW,friedel,finalcut,2019-05-28 14:24:25.157167,2019-05-28 14:33:56.000000,descmp4,dessub.cosmology.illinois.edu,descmp4.cosmology.illinois.edu,1.0,,,,20150915,desoper
2019-05-28 15:48:23.120459,ACT,Y5A1_FAST,D00475539-t,4,34,2713717,0.0,NEW,friedel,finalcut,2019-05-28 15:48:30.924618,2019-05-28 16:11:10.000000,descmp4,dessub.cosmology.illinois.edu,descmp4.cosmology.illinois.edu,0.0,,,,20150915,desoper
2018-05-23 10:51:21.722249,ACT,Y4N,Exception_test,5,3,1926844,1.0,JUNK,friedel,firstcut,2018-05-23 10:51:28.522949,2018-05-23 10:52:56.000000,dessub,dessub.cosmology.illinois.edu,dessub.cosmology.illinois.edu,1.0,,,,20160120,desoper
2018-09-27 12:25:44.057894,ACT,Y4N,Hostname_test,5,7,2144961,8.0,JUNK,friedel,firstcut,2018-09-27 12:25:53.280268,2018-09-27 12:42:33.000000,descmp1,descmp1.cosmology.illinois.edu,descmp1.cosmology.illinois.edu,8.0,,,,20160120,desoper
2018-09-27 12:52:42.667503,ACT,Y4N,Hostname_test,5,8,2144962,5.0,JUNK,friedel,firstcut,2018-09-27 12:52:52.015381,2018-09-27 13:15:30.333085,descmp1,descmp1.cosmology.illinois.edu,descmp1.cosmology.illinois.edu,5.0,,,,20160120,desoper
2019-05-29 13:06:48.230336,ACT,Y5A1_MOF,DES2216-4914,4505,1,2715716,8.0,NEW,mjohns44,multiepoch,2019-05-29 13:06:57.088004,2019-05-29 13:18:37.000000,descampuscluster,descmp2.cosmology.illinois.edu,ccc0023.campuscluster.illinois.edu,8.0,,,,,desoper
2019-05-29 13:32:08.401922,ACT,Y5A1_MOF,DES0218-0416,4506,1,2714726,5.0,JUNK,mjohns44,multiepoch,2019-05-29 13:32:20.163123,2019-05-29 13:46:12.339604,descampuscluster,descmp2.cosmology.illinois.edu,ccc0004.campuscluster.illinois.edu,5.0,,,,,desoper
2019-05-29 13:53:00.005943,ACT,Y5A1_MOF,DES0058+0418,4507,1,2714733,0.0,NEW,mjohns44,multiepoch,2019-05-29 13:53:10.216730,2019-05-29 17:14:01.000000,descampuscluster,descmp2.cosmology.illinois.edu,ccc0009.campuscluster.illinois.edu,0.0,,,,,desoper
2019-05-29 17:27:13.142458,ACT,Y5A1_MOF,DES0138-6456,4507,1,2712746,0.0,NEW,mjohns44,multiepoch,2019-05-29 17:27:23.012771,2019-05-29 19:18:07.000000,descampuscluster,descmp2.cosmology.illinois.edu,ccc0023.campuscluster.illinois.edu,0.0,,,,,desoper
2019-05-29 17:41:19.227264,ACT,Y5A1_MOF,DES0140-0958,4507,1,2712748,0.0,NEW,mjohns44,multiepoch,2019-05-29 17:41:30.884309,2019-05-29 21:58:34.000000,descampuscluster,descmp2.cosmology.illinois.edu,ccc0003.campuscluster.illinois.edu,0.0,,,,,desoper
2019-05-29 23:31:00.775230,ACT,Y5A1_MOF,DES0217+0252,4507,1,2715746,0.0,NEW,mjohns44,multiepoch,2019-05-29 23:31:08.642448,2019-05-30 03:31:44.000000,descampuscluster,descmp2.cosmology.illinois.edu,ccc0014.campuscluster.illinois.edu,0.0,,,,,desoper
2019-05-29 18:14:15.135973,ACT,Y5A1_MOF,DES0328-1415,4507,1,2712750,0.0,NEW,mjohns44,multiepoch,2019-05-29 18:14:22.246454,2019-05-29 21:36:28.000000,descampuscluster,descmp2.cosmology.illinois.edu,ccc0022.campuscluster.illinois.edu,0.0,,,,,desoper
2019-05-29 20:42:29.855435,ACT,Y5A1_MOF,DES0405-4206,4507,1,2714741,0.0,NEW,mjohns44,multiepoch,2019-05-29 20:42:37.766007,2019-05-30 01:31:46.000000,descampuscluster,descmp2.cosmology.illinois.edu,ccc0010.campuscluster.illinois.edu,0.0,,,,,desoper
